date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-09-11,,,3964.38,3817.45,7781.83,,-0.4256018657839302,34.0,1094.75,0.01309774849703336,50.0,56.0,40.732142857142854,2281.0,1944.02,,50.0,30.729,1536.45,0.0,106.0,
2023-09-12,,,0.0,6600.25,6600.25,,0.10663536907406632,49.0,1403.0,0.00818150827620166,54.0,91.0,49.25824175824176,4482.5,2031.58,,63.0,33.61507936507937,2117.75,0.0,154.0,
2023-09-13,,,0.0,9821.0,9821.0,,0.3098596245540329,45.0,1476.5,0.011607779248549027,114.0,123.0,60.1260162601626,7395.5,2519.63,,64.0,37.8984375,2425.5,70.5,187.0,
2023-09-14,,,0.0,8976.0,8976.0,,-0.17760776948096568,51.0,1785.5,0.016042780748663103,144.0,94.0,66.48404255319149,6249.5,3001.96,,86.0,31.703488372093023,2726.5,0.0,180.0,
2023-09-15,,,0.0,14017.96,14017.96,,-0.07267771853459119,64.0,1937.4,0.01312601833647692,184.0,170.0,66.91799999999999,11376.06,3319.49,,77.0,34.31038961038961,2641.9,115.0,247.0,
2023-09-16,,,2807.5,18577.760000000002,21385.260000000002,,-0.09943564939100347,81.0,2617.0,0.01458733453333448,271.0,209.0,75.94622009569377,15872.76,3349.14,,73.0,37.054794520547944,2705.0,0.0,282.0,
2023-09-17,,,0.0,10251.75,10251.75,,-0.11232574248852714,64.0,2125.0,0.008583900309703222,88.0,73.0,71.07191780821918,5188.25,2642.77,,127.0,39.87007874015748,5063.5,15.0,200.0,
2023-09-18,,,1699.02,5704.25,7403.27,,-0.35858656846484693,39.0,1586.0,0.002629618267081562,15.0,61.0,60.778688524590166,3707.5,2127.59,,47.0,42.484042553191486,1996.75,128.25,108.0,
2023-09-19,,,1966.0,4145.75,6111.75,,-0.5962853283812168,46.0,1712.0,0.006030271965265633,25.0,43.0,45.18604651162791,1943.0,1701.21,,51.0,43.19117647058823,2202.75,10.0,94.0,
2023-09-20,,,0.0,9215.380000000001,9215.380000000001,,0.017543201015845087,39.0,1089.0,0.00531719798857996,49.0,79.0,101.39721518987342,8010.38,2342.5,,43.0,28.023255813953487,1205.0,0.0,122.0,
2023-09-21,,,166.0,6607.25,6773.25,,-0.1353181743824636,39.0,957.0,0.013167354042907413,87.0,99.0,58.08080808080808,5750.0,2594.86,,29.0,29.560344827586206,857.25,77.0,128.0,
2023-09-22,,,0.0,14455.76,14455.76,,-0.08212734615091563,57.0,2036.75,0.006087538808059901,88.0,173.0,72.88878612716763,12609.76,3286.78,,65.0,28.4,1846.0,0.0,238.0,
2023-09-23,,,0.0,17984.420000000002,17984.420000000002,,-0.05849359351891832,68.0,1862.71,0.010164353368081929,182.8,241.0,63.006016597510374,15184.45,3415.98,,61.0,45.9011475409836,2799.97,0.0,302.0,
2023-09-24,,,0.0,7792.25,7792.25,,-0.32487870386414835,56.0,1809.5,0.019249895729731462,150.0,61.0,56.85245901639344,3468.0,2267.92,,122.0,35.44467213114754,4324.25,0.0,183.0,
2023-09-25,,,2107.02,4334.25,6441.27,,-0.2635089209855565,35.0,1092.8,0.00415296764146046,18.0,48.0,48.9375,2349.0,1783.6,,50.0,39.705,1985.25,0.0,98.0,
2023-09-26,,,0.0,14402.5,14402.5,,4.287455486618452,58.0,2071.5,0.0054851588265926055,79.0,99.0,121.8030303030303,12058.5,2163.8,,53.0,44.22641509433962,2344.0,0.0,152.0,
2023-09-27,,,0.0,9370.5,9370.5,,937049.0,47.0,1386.0,0.008537431300357504,80.0,104.0,72.71875,7562.75,2438.81,,52.0,34.76442307692308,1807.75,24.0,156.0,
2023-09-28,,,0.0,8974.15,8974.15,,897413.9999999999,62.0,2125.15,0.012591721778664276,113.0,93.0,68.48924731182795,6369.5,3035.85,,64.0,40.69765625,2604.65,30.0,157.0,
2023-09-29,,,0.0,16517.010000000002,16517.010000000002,,1651700.0000000002,71.0,4181.5,0.008233935803150811,136.0,163.0,87.21171779141105,14215.51,1990.32,,66.0,34.871212121212125,2301.5,25.0,229.0,
2023-09-30,,,11590.0,8978.25,20568.25,,897824.0,64.0,1923.25,0.00668281680728427,60.0,89.0,76.92696629213484,6846.5,2859.66,,56.0,38.066964285714285,2131.75,124.0,145.0,
2023-10-01,,,0.0,7076.5,7076.5,,707649.0,54.0,1998.5,0.01738147389246096,123.0,62.0,54.895161290322584,3403.5,2589.25,,113.0,32.50442477876106,3673.0,0.0,175.0,
2023-10-02,,,6642.42,5950.5,12592.92,,595049.0,53.0,1528.25,0.008570708343836652,51.0,73.0,52.113013698630134,3804.25,1839.34,,67.0,32.03358208955224,2146.25,0.0,140.0,
2023-10-03,,,1665.0,6710.5,8375.5,,0.1370356250264752,45.0,1652.0,0.04306683555621787,289.0,63.0,61.095238095238095,3849.0,2215.16,,43.0,66.54651162790698,2861.5,0.0,106.0,
2023-10-04,,,0.0,15949.0,15949.0,,1.3514061405771995,44.0,1344.25,0.007335883127468807,117.0,93.0,147.55376344086022,13722.5,2758.2,,59.0,37.73728813559322,2226.5,135.5,152.0,
2023-10-05,,,0.0,8822.75,8822.75,,0.5536292878777206,45.0,1452.25,0.015414694964721884,136.0,94.0,59.3936170212766,5583.0,2614.0,,61.0,53.11065573770492,3239.75,0.0,155.0,
2023-10-06,,,0.0,14736.5,14736.5,,0.08564086810014136,82.0,3113.0,0.016828962100905915,248.0,186.0,61.306451612903224,11403.0,3857.98,,80.0,41.66875,3333.5,0.0,266.0,
2023-10-07,,,0.0,19906.55,19906.55,,0.43271753947313485,88.0,2374.8,0.014668538747296745,292.0,218.0,70.99220183486239,15476.3,3939.81,,124.0,35.72782258064516,4430.25,0.0,342.0,
2023-10-08,,,0.0,10714.45,10714.45,,-0.07119606440846926,74.0,2345.2,0.006159905548114929,66.0,97.0,48.85,4738.45,3282.7,,168.0,35.57142857142857,5976.0,39.0,265.0,
2023-10-09,,,0.0,0.0,0.0,,-1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,
2023-10-10,,,0.0,6776.0,6776.0,,-0.16103830177115508,42.0,2399.0,0.02139905548996458,145.0,80.0,59.69375,4775.5,2456.9,,47.0,42.56382978723404,2000.5,0.0,127.0,
2023-10-11,,,0.0,6730.0,6730.0,,-0.11833329621512148,57.0,1757.75,0.02421991084695394,163.0,62.0,65.64516129032258,4070.0,2855.32,,71.0,37.46478873239437,2660.0,0.0,133.0,
2023-10-12,,,8128.22,8719.0,16847.22,,0.22980358968934025,66.0,1636.0,0.011813281339603165,103.0,97.0,62.608247422680414,6073.0,3288.94,,66.0,40.09090909090909,2646.0,0.0,163.0,
2023-10-13,,,0.0,16473.75,16473.75,,0.28652424667215937,66.0,2958.75,0.01845360042491843,304.0,168.0,81.875,13755.0,3926.76,,69.0,39.40217391304348,2718.75,37.0,237.0,
2023-10-14,,,2075.0,17129.1,19204.1,,0.16779498087660805,76.0,2641.6,0.012201458336982095,209.0,202.0,63.773514851485146,12882.25,4076.96,,92.0,46.16141304347826,4246.85,114.0,294.0,
2023-10-15,,,0.0,9566.0,9566.0,,-0.18368391859026326,61.0,1721.5,0.030733849048714196,294.0,74.0,54.34121621621622,4021.25,3134.95,,136.0,40.7702205882353,5544.75,0.0,210.0,
2023-10-16,,,1682.22,7852.23,9534.449999999999,,0.006438092796718734,61.0,1834.75,0.0025495941917136914,20.02,100.0,56.55,5655.0,2463.03,,61.0,36.02016393442623,2197.23,0.0,161.0,
2023-10-17,,,0.0,9263.5,9263.5,,0.4838195037329749,50.0,1748.25,0.012954067037296919,120.0,74.0,73.17905405405405,5415.25,3013.13,,99.0,38.871212121212125,3848.25,10.0,173.0,
2023-10-18,,,0.0,12114.0,12114.0,,0.9313643429391367,53.0,1793.5,0.005778438170711574,70.0,127.0,78.32283464566929,9947.0,3327.96,,59.0,36.728813559322035,2167.0,32.0,186.0,
2023-10-19,,,14886.0,8644.01,23530.010000000002,,-0.28879591576470387,70.0,1659.76,0.017353057203774638,150.0,103.0,54.679611650485434,5632.0,3194.25,,89.0,33.84280898876405,3012.01,70.0,192.0,
2023-10-20,,,0.0,15603.0,15603.0,,0.0841055521239867,86.0,2330.0,0.018842530282637954,294.0,183.0,64.39480874316939,11784.25,4052.12,,113.0,33.79424778761062,3818.75,0.0,296.0,
2023-10-21,,,3600.0,21372.2,24972.2,,-0.025968906221444512,93.0,2762.75,0.014504824023731763,310.0,237.0,73.02426160337552,17306.75,4134.82,,108.0,37.643055555555556,4065.45,29.0,345.0,
2023-10-22,,,0.0,15103.75,15103.75,,-0.007898712559117184,59.0,2699.0,0.018604651162790697,281.0,105.0,67.9095238095238,7130.5,3406.66,,188.0,42.410904255319146,7973.25,14.0,293.0,
2023-10-23,,,0.0,10478.5,10478.5,,0.2413813529202701,66.0,2342.0,0.011070286777687646,116.0,108.0,73.31481481481481,7918.0,2725.59,,59.0,43.398305084745765,2560.5,26.0,167.0,
2023-10-24,,,0.0,10638.0,10638.0,,0.13535579924757865,45.0,1510.5,0.007802218462116939,83.0,125.0,65.224,8153.0,3056.83,,76.0,32.69736842105263,2485.0,61.0,201.0,
2023-10-25,,,0.0,13535.710000000001,13535.710000000001,,0.3340603671307134,67.0,2159.26,0.02925594593855808,396.0,170.0,64.17764705882354,10910.2,3599.8,,73.0,35.965890410958906,2625.51,0.0,243.0,
2023-10-26,,,0.0,10281.75,10281.75,,-0.06478533745679461,63.0,1460.5,0.01828482505410071,188.0,128.0,61.78125,7908.0,3345.68,,117.0,20.28846153846154,2373.75,22.0,245.0,
2023-10-27,,,0.0,22932.5,22932.5,,0.12121106929776218,98.0,2631.0,0.010639921508775754,244.0,255.0,77.27058823529411,19704.0,4125.15,,87.0,37.10919540229885,3228.5,0.0,342.0,
2023-10-28,,,0.0,19538.96,19538.96,,-0.021134892687328263,130.0,3201.25,0.014893320831815,291.0,275.0,53.82276363636364,14801.26,4226.98,,130.0,36.44384615384615,4737.7,46.0,405.0,
2023-10-29,,,0.0,11530.77,11530.77,,-0.24578801059619973,84.0,2451.27,0.016390926191399185,189.0,94.0,47.691489361702125,4483.0,3557.03,,195.0,36.14241025641026,7047.77,62.0,289.0,
2023-10-30,,,10792.96,6469.25,17262.21,,-0.4910810863964442,46.0,1242.75,0.023804923290953357,154.0,73.0,60.35616438356164,4406.0,2845.1,,56.0,36.84375,2063.25,20.0,129.0,
2023-10-31,,,0.0,12597.05,12597.05,,0.5803085083161256,76.0,2522.0,0.011669398787811433,147.0,168.0,64.50029761904761,10836.05,3641.9,,49.0,35.93877551020408,1761.0,0.0,217.0,
2023-11-01,,,85.0,10325.25,10410.25,,-0.2663338899349842,61.0,1579.75,0.013655843684172296,141.0,144.0,61.939236111111114,8919.25,3498.31,,40.0,35.15,1406.0,42.0,184.0,
2023-11-02,,,0.0,13804.0,13804.0,,0.09878213802435724,52.0,1760.0,0.005433207765864967,75.0,164.0,63.548780487804876,10422.0,3907.78,,89.0,38.0,3382.0,117.0,253.0,
2023-11-03,,,2325.0,30663.0,32988.0,,0.006474153278959777,33.0,907.75,0.016665036036917456,511.0,271.0,100.17712177121771,27148.0,3935.1,,97.0,36.23711340206186,3515.0,0.0,368.0,
2023-11-04,,,0.0,26335.5,26335.5,,0.11177671506296931,101.0,2940.0,0.01359381823014562,358.0,340.0,58.73970588235294,19971.5,4058.5,,133.0,47.849624060150376,6364.0,0.0,473.0,
2023-11-05,,,0.0,15429.970000000001,15429.970000000001,,0.15617539731898666,70.0,2783.2,0.013480259520919352,208.0,122.0,55.768606557377055,6803.77,4054.83,,207.0,41.672463768115946,8626.2,0.0,329.0,
