date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-06-22,,"Offsite Catering Rainy afternnoon, Multiple walkins this evening",,,,,,,,,,,,,,,,,,,,
2023-06-23,,Very quiet lunch busy HH at the bar,,,,,,,,,,,,,,,,,,,,
2023-06-24,,"Lunch had a pop around 2 with many large parties, Dinner also had many large parties all day!",,,,,,,,,,,,,,,,,,,,
2023-06-25,,"Busy Brunch and HH, Soft Dinner.",,,,,,,,,,,,,,,,,,,,
2023-06-26,,"Thunderstorms all around us today, soft lunch and dinner",,,,,,,,,,,,,,,,,,,,
2023-06-27,,"Steady HH at the bar, 30% of covers were walkins this evening",,,,,,,,,,,,,,,,,,,,
2023-06-28,,"Steady Lunch, Soft Dinner mainly inside tables this evening.",,,,,,,,,,,,,,,,,,,,
2023-06-29,,Aston Martin Off-Site Catering.  Soft Lunch and HH handful of Large tables for Dinner,,,,,,,,,,,,,,,,,,,,
2023-06-30,,"Off site Catering, dinner was popping tonight",,,,,,,,,,,,,,,,,,,,
2023-07-01,,"Steady lunch and dinner, Busy HH with some light rain PM",,,,,,,,,,,,,,,,,,,,
2023-07-02,,"Busy Brunch and bar, Dinner pop around 6 and 7:30 pm",,,,,,,,,,,,,,,,,,,,
2023-07-03,,"Last Year 4th of July. No Rain, Steady Lunch and Dinner with a Busy Bar all day",,,,,,,,,,,,,,,,,,,,
2023-07-04,,"4th of July Parade for Lunch, Dinner pop at 6 pm",,,,,,,,,,,,,,,,,,,,
2023-07-05,,"Lunch covers were all Walkins. Rain on and off, Soft Dinner",,,,,,,,,,,,,,,,,,,,
2023-07-06,,"Started with a rainy morning, Heat Advisory, Had a pop around 8:30 pm",,,,,,,,,,,,,,,,,,,,
